Date,AEP,D,DUK,ED,EIX,EXC,KEP,NEE,NGG,PCG,PEG,PPL,SO,SRE,WEC,XEL
2012-04-20,32.913971999999994,44.357863,53.440441,50.655702000000005,38.921755,32.065945,9.61,56.224782,42.916241,37.556006,26.258118,22.985359,38.605801,58.181367,31.826464,23.384767
2012-04-23,32.673533,44.21006,53.236957,50.413703000000005,38.458943,32.014978,9.51,56.118465,43.21761,37.460377,26.206310000000002,22.909164999999998,38.395209,57.234372,31.604708000000002,23.15756
2012-04-24,32.862449,44.175284999999995,53.87285,50.759415000000004,39.112325,32.227336,9.54,56.614619,43.9751,37.799424,26.249483,23.086953,38.639493,57.802565,31.790982,23.341072
2012-04-25,33.051364,44.549137,54.152641,51.010058,39.629588,32.414211,9.5,57.066475,43.852923,37.851586,26.379003000000004,22.934564,38.310970000000005,57.829627,32.083698999999996,23.533325
2012-04-26,33.154407,45.114259000000004,54.381563,51.243415999999996,39.611441,32.779466,9.41,57.084192,43.690021,37.947215,26.724391999999998,23.180079,38.656341,57.640227,32.261105,23.550801999999997
2012-04-27,33.23169,45.270755,54.508742000000005,51.260702,39.756637,33.059776,9.37,57.181651,43.893646999999994,38.147166,26.931625,23.120816,38.74058,58.442918000000006,32.456251,23.655666
2012-04-30,33.351907000000004,45.375084,54.508742000000005,51.381701,39.93813,33.136224,9.5,57.013311,44.056549,38.407971,26.897084999999997,23.154681,38.698459,58.388799,32.678008,23.646926999999998
2012-05-01,33.386256,45.592439,54.763096,51.5632,40.174077000000004,33.382559,9.53,56.51716,44.023967999999996,38.416663,27.173395000000003,23.3494,38.866934,58.677406000000005,32.536084,23.646926999999998
2012-05-02,33.317558,45.305532,54.635921999999994,51.260702,39.629588,33.365571,9.85,56.51716,44.048404999999995,38.347117,27.104318,23.247807,38.664767,57.613170999999994,32.332068,23.515847
2012-05-03,33.102883,45.14034,54.43243199999999,51.131058,39.674964,32.974834,9.98,56.348819999999996,44.007677,38.573147,27.1993,23.07002,38.477443,58.127248,32.154663,23.515847
2012-05-04,33.128646999999994,45.201203,54.839406000000004,51.321201,39.711261,32.728499,10.1,56.322242,43.918081,38.625309,27.320185,23.154681,38.622192999999996,58.551141,32.305455,23.577017
2012-05-07,33.077124,45.09687,54.610488000000004,51.113772,39.538841,32.439693,10.22,56.827254,44.211303,38.520988,27.138857,23.171614,38.690308,58.65937099999999,32.181272,23.533325
2012-05-08,33.137974,45.175118,54.813972,51.597772,39.411795,32.414211,10.15,56.880410999999995,44.317190000000004,38.625309,27.043875,23.3494,38.911689,58.388799,32.562692999999996,23.847918
