Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-06-27,277.549988,94.190002,43.573106,46.32806,38.62469,22.832214,15.01,61.793572,438.973974,25.950001,822.3900150000001,31.161175,24.023498999999997,53.007332999999996,25.779405,45.564851000000004
2013-06-28,277.690002,94.599998,43.545307,47.43678,40.014412,22.563382999999998,15.65,61.240805,440.62564699999996,26.01,826.669983,30.960022,24.648647,53.007332999999996,26.078742000000002,44.975188
2013-07-01,282.100006,92.5,44.518334,47.25352,39.152594,22.722082,15.58,61.997222,444.384375,26.040001,840.7299800000001,30.872563,24.48988,53.447379000000005,26.069676,44.993057
2013-07-02,283.730011,90.309998,43.925251,47.097751,39.239258,22.703411,15.74,61.347476,441.59659400000004,25.83,841.0599980000001,31.073715000000004,24.202113,54.565837,25.997107999999997,45.234283000000005
2013-07-03,284.02999900000003,89.220001,44.98168,46.758718,39.62443,22.955464000000003,15.62,61.686896999999995,443.658667,25.719998999999998,845.400024,31.152427000000003,23.874654999999997,55.070053,26.051532,45.573783
2013-07-05,285.880005,91.519997,45.806436,46.960305,40.154039000000004,22.936792999999998,15.43,61.890547,447.192205,26.34,855.159973,31.336090999999996,24.291420000000002,56.298522,26.105954,45.832879
2013-07-08,290.589996,90.5,46.353184999999996,46.932817,40.837716,22.992804,15.43,62.753639,452.997992,25.85,888.6300050000001,31.513231,23.795271,55.858477,26.078742000000002,46.180333000000005
2013-07-09,291.52999900000003,92.690002,46.001041,47.89493,41.088075,23.487575,15.56,62.976689,453.07306500000004,25.82,897.0599980000001,31.530942,25.333332000000002,56.179334,26.142242,45.990812
2013-07-10,292.329987,93.43,46.566324,47.400128,41.319179,23.720957000000002,15.76,62.947596999999995,453.448462,26.120001000000002,892.320007,31.344945000000003,24.440264000000003,55.93181800000001,26.115023,45.611768
2013-07-11,299.660004,97.08000200000001,47.659822,48.536339,42.811714,24.150381,15.99,64.567107,460.58057199999996,26.43,910.349976,31.770081,25.184486,56.53688199999999,26.577638,46.216434
2013-07-12,307.549988,96.849998,47.594954,47.922418,43.023559000000006,24.215728,15.97,64.955015,461.961981,26.450001,920.3900150000001,31.716941,25.204333,56.564381000000004,26.759061,45.494444
