Date,CCL,CUK,F,GM,HD,HMC,JCI,LOW,LUV,LVS,MCD,SBUX,TGT,TJX,TM,WMT
2011-01-13,40.597838,43.05614,16.628643,35.845515,31.640884999999997,40.227757000000004,36.360822999999996,22.433747,12.737853999999999,39.674663,61.842009,15.101191,48.780932,21.48159,85.389999,48.620021
2011-01-14,41.314471999999995,43.845676,16.601937,35.77995,32.197089,40.546238,36.57785,22.947778,12.883819,40.397396,63.024894999999994,15.236314000000002,48.472861,21.693953,85.959999,48.63777
2011-01-18,40.658277000000005,43.407044,16.646447,35.620718,32.313713,40.068518,36.74966,22.956957,12.728123,39.649453,63.552516000000004,15.376097,48.085573,21.793054,85.18,48.930606
2011-01-19,39.94164,42.363101,15.934298000000002,35.030633,31.963843,39.909279,36.288483,22.397031,12.484849,39.019163,64.122683,15.380754999999999,47.99755,22.057328,84.0,48.832993
2011-01-20,39.743055,41.819194,15.827476999999998,34.824569,32.735353,40.15809,35.085798,23.22315,12.445925,38.178776,63.960998,15.459966,48.895359,22.189463,83.360001,49.684888
2011-01-21,39.820762,41.898148,15.978809,34.880769,32.753293,40.048615999999996,34.832602,22.956957,12.231843,38.103141,63.833346999999996,15.469285000000001,49.053796000000006,22.288565,82.010002,49.454166
2011-01-24,39.89847,41.713923,15.961004,35.255426,32.878890000000006,41.103573,35.239526,23.012031,12.416732000000001,38.514932,64.148212,15.604409,49.11541,22.439578,83.5,49.73813
2011-01-25,39.907106,41.46829,15.925396,35.96728,33.336412,41.700721,34.913987,23.461807999999998,12.163725999999999,37.851025,64.233317,15.67896,49.247442,22.916214,83.860001,50.811869
2011-01-26,40.830961,42.205193,16.352686,35.489588,33.569658000000004,42.138627,35.121969,23.728003,12.124802,38.683006,63.969503,15.408712,48.930568,22.930371,82.290001,50.865114
2011-01-27,39.94164,41.494607,16.726563,36.220172,34.072038,43.113966,35.619319,24.085987,12.153995,39.43095,63.271685999999995,15.390073999999998,48.261614,22.939809,83.529999,51.086960999999995
2011-01-28,38.517005,39.845349,14.483298999999999,34.281310999999995,32.923745000000004,42.02915,34.082054,23.177256,11.609061,38.32164,62.361118000000005,14.78435,47.839113,22.515083999999998,81.360001,50.314934
2011-01-31,38.603345000000004,40.143619,14.198439000000002,34.178283,32.986542,43.332921,34.715046,22.764195,11.531213000000001,39.069587,62.693006999999994,14.691162,48.261614,22.364072,82.18,49.755878
2011-02-01,39.509932,40.959476,14.145029000000001,34.140816,33.183906,43.661349,34.760259000000005,22.947778,11.531213000000001,41.254591,62.52281,15.026639999999999,48.094373,22.623625,83.290001,49.986601
2011-02-02,39.458129,40.775251000000004,13.708838,33.419596999999996,32.798151000000004,43.551871999999996,33.792687,22.268524,11.258745,41.540323,62.667478,15.003343,47.055732,22.241374,85.0,49.569527
2011-02-03,39.328615,40.626117,14.029304999999999,33.775524,32.923745000000004,43.332921,33.901202000000005,22.488822,11.365786,42.254651,62.82917,15.077894,47.583856,23.364532,84.68,49.622768
2011-02-04,39.535837,40.784025,13.993697000000001,34.271947,33.013453999999996,43.004488,34.53419,22.681583,11.404710000000001,38.683006,63.01639,15.180401999999999,47.768699,23.454197,84.75,49.720381
2011-02-07,40.071154,41.310383,14.340869,34.374978000000006,32.834032,42.775583000000005,35.357079,22.598972,11.696639999999999,38.750239,62.505786,15.133619,48.235206,23.496669,85.129997,49.755878
2011-02-08,40.43379,41.854286,14.456593,34.55294,33.336412,43.581732,36.125713,22.7183,11.852335,38.960336,64.13119499999999,15.493832000000001,48.754527,23.591337,88.57,50.030969
2011-02-09,40.537399,42.143785,14.323065,34.10335,33.345382,43.342871,36.333696,22.461284,11.939914,38.834276,64.616264,15.433017999999999,48.420048,23.368866,89.629997,50.341553999999995
2011-02-10,40.658277000000005,42.020967999999996,14.198439000000002,33.606927,33.470979,42.506865999999995,36.74966,22.424569,11.978838,38.867893,64.47159599999999,15.512545000000001,48.023959000000005,23.657605,88.82,49.329932
2011-02-11,41.124522999999996,42.178876,14.581218,34.140816,33.623484999999995,42.725821,37.445951,23.03039,12.056686000000001,39.683069,64.794972,15.601428,47.874322,24.045745,90.050003,49.418669
2011-02-14,40.451056,41.740244,14.323065,33.990953000000005,33.713198,43.591682,37.43691,23.103823000000002,11.862065,40.346971999999994,64.880071,15.709026000000001,47.423347,23.449335,92.809998,48.628894
2011-02-15,40.451056,41.66129,14.331967,33.822356,33.811876,43.780781,37.599678999999995,23.480166,12.037223,40.447821000000005,64.803484,15.521901000000002,47.626729,23.335732,92.970001,48.762004
2011-02-16,40.754874,42.119879,14.287457,34.42181,33.964386,44.039543,38.087984000000006,23.672928,12.046955,40.565474,64.69285,15.704347,47.520617,23.392533,93.68,48.407047
2011-02-17,39.895505,41.555459,14.216242999999999,34.065883,34.251459000000004,44.158971,38.042771,23.994196,12.163725999999999,41.103322,64.658816,15.6716,46.998899,23.288399,93.449997,48.584525
2011-02-18,39.669814,41.537821,14.038207,34.197013,34.520590000000006,44.278403000000004,38.341183,24.141061999999998,12.231843,40.136875,64.786461,15.905504999999998,45.893562,23.70494,93.199997,49.143581
2011-02-22,36.536159000000005,38.689261,13.557506,33.503896000000005,34.17072,42.586488,37.653934,23.85651,11.560406,38.489717999999996,64.42053100000001,15.3301,45.159618,23.534537,90.690002,47.626144000000004
2011-02-23,36.492757,38.327678999999996,13.228138000000001,32.398651,33.462006,42.47701,36.116668,23.617852,11.375516000000001,38.111543,63.986527,14.927783999999999,44.443358,23.103796,90.16999799999999,47.058215999999994
2011-02-24,36.379909999999995,38.274767,13.085709,30.928114,33.31847,42.447154,36.24327,23.048749,11.443634,37.800601,64.00354399999999,14.927783999999999,45.981988,23.780673999999998,90.099998,46.224072
2011-02-25,37.135111,39.341874,13.415076999999998,31.143542,33.264645,43.163727,36.785832,23.195614000000003,11.472827,38.657796000000005,63.866277000000004,15.203791,46.300325,23.823275,91.75,45.922359
2011-02-28,37.039625,39.403607,13.397274,31.405803000000002,33.614515999999995,43.482205,36.894344,24.021734,11.51175,39.195643,64.930141,15.428339000000001,46.468334999999996,23.605536999999998,93.300003,46.126458
2011-03-01,34.791383,36.98718,13.050101,30.862548999999998,32.977569,43.29311,36.0805,23.406733,11.399797,36.724907,64.25235500000001,15.152332000000001,46.397595,23.487202,92.839996,46.206323
2011-03-02,35.242765000000006,37.454593,13.050101,30.796984000000002,32.887859999999996,42.964678,36.387953,23.663749,11.263505,37.178715999999994,64.080766,15.072804999999999,46.247268,23.889543,91.529999,46.117585999999996
