Date,BA,CNI,DE,EMR,ERJ,GD,GE,HON,NJ,NOC,NSC,PHG,RTN,UNP,UPS,UTX
2013-03-15,81.277814,48.112518,85.894108,53.017584,33.596185999999996,65.61229200000001,21.531854,69.487063,7.425,64.832369,70.266701,27.064164,53.787011,67.003674,79.240385,87.738948
2013-03-18,80.102328,47.458121999999996,85.503005,52.409985,33.40327,65.405815,21.35732,69.893807,7.3,64.483704,69.792803,26.757539,52.951375,66.3038,79.203299,87.259241
2013-03-19,80.412658,47.053938,84.33900200000001,52.428398,33.229646,65.621672,21.421622,70.026235,7.305,64.49312900000001,70.10873000000001,27.262567999999998,53.01636800000001,66.005877,78.878811,87.579048
2013-03-20,80.28100500000001,47.578415,81.703698,52.57569399999999,33.827682,65.452737,21.550224,70.659998,7.395,64.68159200000001,70.638379,27.704468,52.923520999999994,65.793079,77.905339,87.898848
2013-03-21,79.302999,46.438037,80.912177,51.986508,33.451498,64.65499200000001,21.394064999999998,70.55594599999999,7.445,64.078501,69.560501,27.208458,52.793533999999994,65.433678,76.950413,86.939441
2013-03-22,79.763788,46.808539,81.685077,52.281101,33.646803999999996,65.030404,21.467551999999998,71.123502,7.4,64.12562,69.365368,27.469990000000003,52.960662,65.79780500000001,78.582135,88.03053100000001
2013-03-25,79.79199799999999,46.572765000000004,80.902863,51.397321999999996,33.057017,65.255648,21.348133999999998,70.811348,7.415,63.993694999999995,69.114478,27.244531,52.700683999999995,64.87567299999999,78.443067,87.287465
2013-03-26,81.456491,47.260843,81.736531,51.084317,34.110896999999994,65.978316,21.237904,71.397819,7.305,65.29410899999999,70.387496,27.019071000000004,53.675594,65.958586,78.841726,87.146374
2013-03-27,81.061522,47.342641,81.9145,50.964636999999996,34.09156,65.940774,21.219531,71.10458,7.49,65.868931,70.879975,26.559134999999998,54.232682,66.59698900000001,79.203299,87.108749
2013-03-28,80.732387,48.261684,80.537555,51.434144,34.487973,66.175405,21.237904,71.274845,7.5,66.104514,71.62334399999999,26.649318,54.585506,67.344155,79.639044,87.880039
2013-04-01,80.168155,47.486995,79.694523,50.642424,33.289066,63.969873,21.201159,70.310013,7.29,65.868931,70.731305,26.514042,54.257465,66.25178199999999,78.313271,87.40033199999999
2013-04-02,79.077301,47.631345,78.720353,50.531952000000004,33.395421,62.88118000000001,21.439994,70.1965,7.175,65.397766,70.852099,26.910852000000002,53.929429000000006,66.592263,77.80335600000001,87.466174
2013-04-03,79.33121,46.760422,79.432248,50.568777000000004,32.235186,64.18573,21.127672,69.36409599999999,7.21,66.13278299999999,69.83926600000001,26.757539,54.379309,65.655937,77.256362,87.663698
2013-04-04,79.886036,46.55833,80.265911,51.627472999999995,32.157835,63.528765,21.201159,69.76138,7.365,66.971457,68.631293,26.811649,54.86668,65.476244,77.571578,87.626081
